Attaching to hardhat-chainlink-plugin-chainlink-hardhat-node-1, hardhat-chainlink-plugin-chainlink-hardhat-postgres-1
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:03:52.066Z [DEBUG] Initializing API credentials                       cmd/client.go:719                file=/chainlink/apicredentials logger=1.6.0@a6a2907 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:03:52.092Z [INFO]  Starting Chainlink Node 1.6.0 at commit a6a2907abab0b0f0e19ae5a33c5aa0a5733cc9be cmd/local_client.go:74           SHA=a6a2907abab0b0f0e19ae5a33c5aa0a5733cc9be Version=1.6.0 logger=1.6.0@a6a2907.RunNode 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:03:52.223Z [DEBUG] Using database locking mode: dual                  pg/locked_db.go:69               logger=1.6.0@a6a2907.RunNode.LockedDB 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:03:52.225Z [DEBUG] Taking initial lease...                            pg/lease_lock.go:82              appID=515b5703-c60b-41fb-b3f0-6b8fe22010b3 logger=1.6.0@a6a2907.RunNode.LockedDB.LeaseLock 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:03:52.244Z [DEBUG] Got exclusive lease on database                    pg/lease_lock.go:132             appID=515b5703-c60b-41fb-b3f0-6b8fe22010b3 logger=1.6.0@a6a2907.RunNode.LockedDB.LeaseLock 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:03:52.246Z [DEBUG] Taking initial advisory lock...                    pg/advisory_lock.go:43           advisoryLockID=1027321974924625846 logger=1.6.0@a6a2907.RunNode.LockedDB.AdvisoryLock 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:03:52.270Z [DEBUG] Taking advisory lock                               pg/advisory_lock.go:125          advisoryLockID=1027321974924625846 logger=1.6.0@a6a2907.RunNode.LockedDB.AdvisoryLock 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:03:52.275Z [DEBUG] Got advisory lock                                  pg/advisory_lock.go:92           advisoryLockID=1027321974924625846 logger=1.6.0@a6a2907.RunNode.LockedDB.AdvisoryLock 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:03:52.299Z [DEBUG] Previous version not set; node_versions table does not exist versioning/orm.go:79             appVersion=1.6.0 logger=1.6.0@a6a2907.Version 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0001_initial.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0002_gormv2.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0003_eth_logs_table.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0004_cleanup_tx_attempt_state.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0005_tx_attempts_insufficient_eth_index.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0006_unique_task_specs_per_pipeline_run.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0007_reverse_eth_logs_table.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0008_reapply_eth_logs_table.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0009_add_min_payment_to_flux_monitor_spec.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0010_bridge_fk.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0011_latest_round_requested.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0012_change_jobs_to_numeric.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0013_create_flux_monitor_round_stats_v2.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0014_add_keeper_tables.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0015_simplify_log_broadcaster.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0016_pipeline_task_run_dot_id.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0017_bptxm_chain_nonce_fastforward.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0018_add_node_version_table.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0019_last_run_height_column_to_keeper_table.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0020_remove_result_task.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0021_add_job_id_topic_filter.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0022_unfinished_pipeline_task_run_idx.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0023_add_confirmations_to_direct_request.sql
